UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,WEBADDR,HBCU,CYACTIVE,LATITUDE,LONGITUD
100654,"Alabama A & M University","4900 Meridian Street","Normal",AL,35762,www.aamu.edu/,1,1,34.783368,-86.568502
100724,"Alabama State University","915 S Jackson Street","Montgomery",AL,36104-0271,www.alasu.edu/,1,1,32.364317,-86.295677
101240,"Gadsden State Community College","1001 George Wallace Dr","Gadsden",AL,35903,www.gadsdenstate.edu/,1,1,33.994001,-85.991438
101462,"J. F. Drake State Community and Technical College","3421 Meridian St N","Huntsville",AL,35811,https://drakestate.edu/,1,1,34.771858,-86.572885
101569,"Lawson State Community College","3060 Wilson Rd SW","Birmingham",AL,35221-1717,www.lawsonstate.edu/,1,1,33.450814,-86.888844
101675,"Miles College","5500 Myron Massey Blvd","Fairfield",AL,35064-2621,https://www.miles.edu/,1,1,33.482442,-86.908751
101912,"Oakwood University","7000 Adventist Blvd NW","Huntsville",AL,35896,https://www2.oakwood.edu/,1,1,34.756344,-86.652705
102030,"Bishop State Community College","351 North Broad Street","Mobile",AL,36603-5898,www.bishop.edu/,1,1,30.693972,-88.056982
102058,"Selma University","1501 Boynton St, Dinkins Hall","Selma",AL,36701,https://selmau.edu/,1,1,32.420387,-87.032392
102067,"Shelton State Community College","9500 Old Greensboro Rd","Tuscaloosa",AL,35405-8522,www.sheltonstate.edu/,1,1,33.120531,-87.56148
102270,"Stillman College","3601 Stillman Boulevard","Tuscaloosa",AL,35401,https://stillman.edu/,1,1,33.200006,-87.585278
