county_fips,reporting_year,tri_facility_id
17031,2023,IL0000001
17031,2023,IL0000002
17031,2023,IL0000003
17031,2023,IL0000004
17031,2023,IL0000005
17031,2023,IL0000006
17031,2023,IL0000007
17031,2023,IL0000008
17031,2023,IL0000009
17031,2023,IL0000010
17031,2023,IL0000011
17031,2023,IL0000012
17031,2022,IL0000001
17031,2022,IL0000002
17031,2022,IL0000003
17031,2022,IL0000004
17031,2022,IL0000005
17031,2022,IL0000006
17031,2022,IL0000007
17031,2022,IL0000008
17031,2022,IL0000009
17031,2022,IL0000010
17031,2022,IL0000011
17043,2023,IL0000101
17043,2023,IL0000102
17043,2023,IL0000103
17097,2023,IL0000201
17097,2023,IL0000202
